ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
6148	22	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6149	61	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6150	4	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6151	7	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6152	5	1	2	0.000000	1.600000	1.600000	0.000000	0.000000	0	1	0
6153	5	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6154	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6155	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6156	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6157	15	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6158	2	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6159	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6160	1	1	3	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6161	1	2	3	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
6162	3	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6163	17	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6164	3	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6165	1	2	4	0.000000	1106.000000	4.000000	0.000000	0.000000	0	544	0
6166	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6167	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6168	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6169	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6170	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6171	3	2	3	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6172	1	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6173	2	1	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	7	0
6174	22	1	1	0.000000	1.500000	1.500000	0.000000	0.000000	0	2	0
6175	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6176	79	1	2	0.000000	1.012658	1.012658	0.000000	0.000000	0	2	0
6177	3	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6178	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6179	1	2	2	0.000000	70.000000	2.000000	0.000000	0.000000	0	2	0
6180	18	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6181	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6182	1	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6183	2	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6184	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6185	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6186	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6187	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6188	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6189	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6190	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6191	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6192	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6193	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6194	1	1	3	0.000000	1281.000000	3.000000	0.000000	0.000000	0	634	0
6195	17	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6196	18	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6197	17	1	2	0.000000	1.705882	1.705882	0.000000	0.000000	0	2	0
6198	1	3	1	0.000000	1076.000000	2.000000	0.000000	0.000000	0	8	0
6199	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6200	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6201	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6202	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6203	4	2	1	0.000000	2.500000	2.500000	0.000000	0.000000	0	2	0
6204	32	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6205	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6206	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6207	1	1	3	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6208	3	1	2	0.000000	4.666667	4.666667	0.000000	0.000000	0	5	0
6209	3	1	2	0.000000	4.666667	4.666667	0.000000	0.000000	0	5	0
6210	27	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6211	13	1	2	0.000000	1.615385	1.615385	0.000000	0.000000	0	1	0
6212	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6213	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6214	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6215	108	1	0	0.000000	1.037037	1.037037	0.000000	0.000000	0	1	0
6216	6	1	1	0.000000	1.166667	1.166667	0.000000	0.000000	0	2	0
6217	23	1	1	0.000000	1.043478	1.043478	0.000000	0.000000	0	1	0
6218	2	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	2	0
6219	1	4	5	0.000000	1780.000000	4.000000	0.000000	0.000000	0	883	0
6220	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6221	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6222	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6223	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6224	5	1	2	0.000000	1.800000	1.800000	0.000000	0.000000	0	1	0
6225	13	1	2	0.000000	4.461538	4.076923	0.000000	0.000000	0	4	0
6226	21	1	1	0.000000	2.000000	1.333333	0.000000	0.000000	0	2	0
6227	67	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6228	2	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6229	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6230	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
